animal geno true_BV_ADG true_BV_BF
87 0 -2.2995 1.7164
88 0 -2.4921 1.7902
89 0 1.0960 1.3257
90 0 -4.4839 3.2365
91 0 1.9834 1.4305
92 0 -0.8305 0.6126
93 0 -0.3394 -5.3157
94 0 1.0702 -0.3072
95 0 -1.9022 -2.2717
96 0 3.1976 1.3895
97 0 4.6098 -2.4158
98 0 -4.8616 0.0075
99 0 2.6421 -0.9994
100 0 -0.3518 -7.4867
101 0 -2.8670 1.0947
102 0 -0.5673 4.0446
103 0 0.3972 0.7170
104 0 0.1087 -1.5096
105 0 -3.7230 0.8804
106 0 -1.3816 -5.2296
107 0 1.3087 4.3921
108 0 -4.4660 -0.0380
109 0 -3.9448 -7.0191
110 0 -1.4872 -1.0941
111 0 -4.1656 2.3321
112 0 -3.8425 -6.1256
113 0 3.1451 0.6740
114 0 -3.4402 -3.5893
115 0 3.8946 2.0105
116 0 -3.9093 -9.5319
117 0 -0.7639 2.0494
118 0 -2.1102 -3.5662
119 0 -0.4329 2.2953
120 0 3.6522 -0.8867
121 0 -4.7627 -5.8913
122 0 -0.5778 1.3072
123 0 -7.0054 -1.4934
124 0 1.2845 -0.0672
125 0 -0.1143 -0.6238
126 0 4.5551 3.2567
127 0 0.0665 3.8832
128 0 -4.4345 0.6221
129 0 4.1281 4.5004
130 0 4.3529 3.7666
131 0 -3.8900 -1.0559
132 0 -2.8618 3.3348
133 0 -0.6194 3.3416
134 0 4.2453 -0.6408
135 0 -6.0765 -8.2916
136 0 0.0436 0.8260
137 0 1.0921 -1.0789
138 0 2.7127 -0.0148
139 0 -3.9342 1.1770
140 0 3.7468 5.4823
141 0 -0.2031 0.0671
142 0 5.9618 6.6548
143 0 1.4805 -0.2767
144 0 -5.0508 -1.4564
145 0 -1.9099 -4.0045
146 0 -3.0909 -2.4874
147 0 2.2186 -2.8403
148 0 -3.8705 0.2759
149 0 -0.7810 4.8048
150 0 5.2215 1.5131
151 0 -1.7430 5.2911
152 0 0.6048 3.6589
153 0 -3.3816 -2.5485
154 0 2.2988 -3.6822
155 0 -0.4960 0.6427
156 0 -4.1303 -3.6521
157 0 -3.0017 -1.4177
158 0 2.4589 6.9070
159 0 -1.8144 -0.6486
160 0 -4.2450 3.5637
161 0 1.5811 -1.6992
162 0 0.2669 4.7707
163 0 8.4246 3.8441
164 0 -3.7193 -5.2580
165 0 0.2394 8.2806
166 0 -3.3751 6.0061
167 0 -3.7631 -7.7161
168 0 1.4880 0.3654
169 0 -4.4263 -6.2618
170 0 0.1364 3.5566
171 0 -4.6757 -5.2509
172 0 0.3236 1.0970
173 0 -1.3907 -0.6502
174 0 -1.9897 -3.0121
175 0 -1.5747 -1.3160
176 0 0.0997 -3.2327
177 0 6.0296 -1.3226
178 0 -4.1902 0.3881
179 0 -6.9446 -1.1448
180 0 2.9217 -5.9826
181 0 -3.4481 -1.3517
182 0 -0.3063 -2.0467
183 0 -4.2262 -2.8896
184 0 -2.4249 -4.9567
185 0 -2.6862 0.1563
186 0 1.7192 2.1841
187 0 -7.0378 -1.7288
188 0 -1.3600 -1.3625
189 0 -1.3023 -4.7149
190 0 0.9725 3.7911
191 0 -3.1741 -2.2491
192 0 3.4985 -2.2630
193 0 6.2315 2.3109
194 0 -1.5250 -1.6207
195 0 -0.4237 0.1061
196 0 -3.1413 -1.5937
197 0 1.0684 0.5131
198 0 -7.1564 -4.0630
199 0 1.2902 3.3993
200 0 -1.5349 1.8552
201 0 2.1347 -2.7491
202 0 2.8279 0.4191
203 0 -7.8686 -1.3489
204 0 2.6706 2.8216
205 0 2.7576 -6.4313
206 0 -3.2851 -6.2601
207 0 3.6912 4.3347
208 0 -5.1548 -0.0490
209 0 0.6038 -2.2477
210 0 0.1731 -2.8695
211 0 -4.0220 4.0185
212 0 -4.3329 -1.6550
213 0 2.1254 2.6162
214 0 2.0200 -0.4031
215 0 -0.9184 4.9982
216 0 -2.3547 0.2059
217 0 2.0865 3.2159
218 0 -1.5072 -4.2491
219 0 -2.8258 -5.8402
220 0 -3.1031 -2.1274
221 1 0.3393 1.5502
222 1 -1.4765 -3.2508
223 1 -1.3846 3.0306
224 1 2.5299 -0.0481
225 1 2.4497 2.1709
226 1 2.2926 -0.4889
227 1 -2.3205 -1.5962
228 1 -0.0624 1.8764
229 1 -6.4308 -5.7639
230 1 -5.6929 -0.2435
231 1 3.8632 -3.5968
232 1 0.4708 9.6322
233 1 -3.2392 1.2442
234 1 -5.5094 -8.0618
235 1 -1.9695 -3.6585
236 1 -2.9190 4.5909
237 1 -5.4585 -2.1829
238 1 8.0478 0.0012
239 1 -1.4178 -0.5981
240 1 -1.8343 -1.3402
241 1 0.7023 -1.7232
242 1 -1.9501 -5.1176
243 1 -2.8303 -1.8218
244 1 -3.6535 0.3610
245 1 -2.6366 -0.9324
246 1 -4.7386 0.7794
247 1 4.0962 2.6389
248 1 -1.2277 -2.1042
249 1 -1.7208 -1.8569
250 1 -0.5959 -1.0063
251 1 -2.7454 -0.2896
252 1 -1.9946 3.1569
253 1 1.4583 -1.5633
254 1 -2.9565 -2.4894
255 1 -2.1956 2.4868
256 1 -1.7478 1.6004
257 1 3.0736 3.4483
258 1 -1.7694 1.6039
259 1 -1.5142 -1.8434
260 1 4.9686 4.8979
261 1 -2.2732 2.5849
262 1 2.9607 5.3046
263 1 -5.5537 1.4342
264 1 -6.0766 2.0063
265 1 0.2977 0.8659
266 1 -1.8892 4.3081
267 1 1.5024 -1.5655
268 1 2.6336 0.5442
269 1 -1.2559 -4.3133
270 1 1.3666 1.1939
271 1 -4.7974 -0.7237
272 1 3.1699 0.9586
273 1 -0.7353 -3.9814
274 1 3.6381 4.9094
275 1 -1.8873 0.7700
276 1 4.7301 3.3669
277 1 3.8047 5.7209
278 1 -1.1186 -0.9326
279 1 -1.7340 1.1391
280 1 0.7537 0.7964
281 1 -2.5893 3.2108
282 1 -0.5597 4.5993
283 1 -1.7082 -0.3550
284 1 -2.1446 -6.2519
285 1 -0.3476 10.0680
286 1 -0.7679 3.7831
287 1 -2.0541 0.0243
288 1 1.2790 -5.8336
289 1 2.9801 1.5186
290 1 -0.2693 -1.9974
291 1 -2.4352 -1.6709
292 1 3.2753 1.4315
293 1 0.7593 0.9120
294 1 0.0413 -0.0261
295 1 -0.7652 4.9927
296 1 -1.0723 0.4211
297 1 0.3906 -4.4767
298 1 -0.4350 -5.7218
299 1 -0.8898 1.9592
300 1 1.3173 0.4822
301 1 4.1732 0.5864
302 1 -3.3446 1.6530
303 1 -2.6619 2.9086
304 1 2.3349 5.3262
305 1 0.6402 3.0317
306 1 -1.6344 -1.0742
307 1 -1.2291 -1.7784
308 1 2.5470 3.6486
309 1 -8.6081 0.9812
310 1 -4.8579 -7.0254
311 1 -3.3496 0.6159
312 1 4.0851 0.0958
313 1 1.5265 -0.7611
314 1 -4.4915 2.9901
315 1 -0.2994 -0.2216
316 1 -4.1083 3.8191
317 1 -1.9659 2.2562
318 1 5.1468 4.3513
319 1 -3.9109 -3.0334
320 1 -1.4253 -5.1451
321 1 1.6658 -0.2158
322 1 -1.9084 -1.6005
323 1 3.6605 5.0755
324 1 2.4198 -0.9887
325 1 -2.8687 0.2263
326 1 -3.4374 -0.4610
327 1 1.3023 -2.5817
328 1 0.4738 -1.9128
329 1 -1.2007 3.1442
330 1 0.5481 1.1000
331 1 1.4781 3.3087
332 1 -0.5071 2.0170
333 1 2.2395 2.0262
334 1 2.0015 -8.6067
335 1 -2.9778 -6.7886
336 1 -2.0029 0.4276
337 1 2.5523 4.7128
338 1 -5.6992 -0.3874
339 1 -2.1588 0.6303
340 1 1.6705 1.9961
341 1 6.9534 3.1344
342 1 -6.5145 -3.3507
343 1 -1.0965 -1.5503
344 1 3.5505 -1.4164
345 1 5.8390 -5.1240
346 1 -0.6131 2.8599
347 1 2.4662 0.1235
348 1 1.6092 2.1566
349 1 0.4571 1.0383
350 1 -1.5112 -4.5137
351 1 6.7122 5.2660
352 1 -1.7681 -0.5230
353 1 4.2718 -1.2901
354 1 -7.0443 -5.7216
355 1 3.7507 -3.2300
356 1 -0.6372 -2.0018
357 1 -1.7795 -1.3404
358 1 -6.0538 -4.7097
359 1 0.5064 -1.1495
360 1 -1.7717 -1.4604
361 1 2.1090 -2.4158
362 1 -3.4882 -1.2053
363 1 4.2416 0.1478
364 1 -2.9906 6.8657
365 1 -3.9329 -4.0495
366 1 1.9398 1.3484
367 1 1.6313 1.4155
368 1 -1.6417 -3.4650
369 1 0.7507 0.4086
370 1 -6.7057 1.0063
371 1 -4.8044 -2.3031
372 1 -1.1560 -0.8583
373 1 2.5898 4.7919
374 1 3.2571 1.4458
375 1 -8.3831 -1.0430
376 1 -3.7183 -11.0034
377 1 2.5439 -1.7877
378 1 -5.8009 -3.6850
379 1 1.2297 0.9833
380 1 -1.9836 -1.3204
381 1 -0.7791 2.5742
382 1 -2.3279 2.5273
383 1 1.7221 9.2116
384 1 -1.2083 -4.6271
385 1 0.5447 0.8884
386 1 1.4578 1.3740
387 1 2.5707 1.1731
388 1 2.8641 0.0150
389 1 -2.1763 1.7260
390 1 5.6564 -1.9554
391 1 -1.2039 -7.8480
392 1 -3.3906 5.3287
393 1 -3.8768 -5.9276
394 1 2.6528 0.0401
395 1 0.8392 3.0998
396 1 -4.7776 -1.9613
397 1 -6.2024 -1.6167
398 1 1.9855 0.1100
399 1 -5.6482 -3.4048
400 1 2.4142 0.1405
401 1 -3.2599 -6.1344
402 1 -6.9010 -0.4151
403 1 2.8017 3.3503
404 1 -1.6376 -1.3519
405 1 -4.0365 -5.0201
406 1 0.4806 6.4115
407 1 -0.2476 3.6238
408 1 1.2240 0.5483
409 1 0.5213 0.6096
410 1 -2.2607 0.2596
411 1 -6.5522 -1.9089
412 1 -0.8662 -0.2009
413 1 -2.5207 -2.4793
414 1 -0.9876 -2.9030
415 1 -5.7492 -2.2649
416 1 -2.1192 2.9104
417 1 -0.9138 2.4075
418 1 -6.6583 -0.4739
419 1 -2.8538 -6.1446
420 1 -0.0292 1.6944
421 1 -1.3901 -1.9578
422 1 -4.1285 1.3412
423 1 -1.0006 -0.7493
424 1 -6.3166 -4.5383
425 1 5.4454 5.5880
426 1 2.9930 2.2051
427 1 2.1736 6.0716
428 1 -4.5688 -1.1694
429 1 -1.5962 -0.8550
430 1 0.2269 -4.1893
431 1 -3.0017 -1.7969
432 1 1.2954 1.6369
433 1 1.7765 4.6996
434 1 -1.1447 -0.3256
435 1 1.7597 1.5771
436 1 -2.0463 4.0278
437 1 0.1010 -0.2974
438 1 -3.1374 0.2664
439 1 -5.3262 -0.0977
440 1 -0.9492 -4.6413
441 1 -2.3040 1.2536
442 1 -6.1406 -4.7870
443 1 -5.3928 -5.5945
444 1 6.5524 5.1509
445 1 6.3968 -1.1808
446 1 -0.2176 3.1473
447 1 2.0304 5.0061
448 1 2.5097 3.3405
449 1 2.2702 3.4608
450 1 0.5381 -1.1674
451 1 0.1596 0.8798
452 1 -5.6052 -1.6381
453 1 -0.8586 -7.4701
454 1 -1.3706 0.4030
455 1 0.0161 -0.4553
456 1 -2.5744 -4.4613
457 1 -1.7025 -0.3907
458 1 0.0476 3.9880
459 1 -1.4025 -1.2547
460 1 0.2548 -1.1392
461 1 0.2604 0.7396
462 1 -6.2884 -3.4766
463 1 -1.4349 -0.0793
464 1 2.8877 0.0096
465 1 0.3992 2.2507
466 1 -1.5743 -2.6431
467 1 -0.9859 1.5788
468 1 -5.7592 -5.9647
469 1 0.4658 -5.1167
470 1 1.0405 4.9891
471 1 -2.5870 2.1988
472 1 0.9942 0.5405
473 1 5.0275 5.8041
474 1 1.8066 -0.8447
475 1 -2.6844 -1.3206
476 1 -1.6878 -0.3969
477 1 -4.4310 -6.2674
478 1 -4.0774 3.9539
479 1 0.5509 -3.0831
480 1 0.9425 -3.0062
481 1 0.6405 4.2352
482 1 0.6593 3.5877
483 1 0.8166 -2.4876
484 1 2.2052 0.0983
485 1 -0.4374 0.8946
486 1 -0.1601 0.8302
487 1 -1.2186 -2.0676
488 1 1.3501 2.6320
489 1 2.3321 3.3819
490 1 -3.2544 -1.0476
491 1 2.1916 6.4763
492 1 -0.8248 -1.1175
493 1 3.8703 -1.3196
494 1 -5.8210 2.6033
495 1 -2.4960 -2.8353
496 1 -3.1876 -1.5870
497 1 -1.5351 4.6812
498 1 -2.9741 -0.7095
499 1 -2.9536 0.7234
500 1 -1.8127 -0.1443
501 1 0.1564 -3.8826
502 1 3.1221 1.6655
503 1 0.7959 -5.4870
504 1 -2.4390 -4.6999
505 1 3.3987 3.1833
506 1 -2.9167 -3.2025
507 1 -2.5899 -4.1318
508 1 -0.9353 5.4878
509 1 2.5859 4.3627
510 1 -4.6724 -2.7254
511 1 1.4904 -0.5794
512 1 -1.9778 -3.6245
513 1 -0.5440 -1.6466
514 1 -4.9619 -1.5540
515 1 -0.8649 1.0129
516 1 2.3228 -2.6789
517 1 4.4327 2.9169
518 1 -0.2721 -1.4574
519 1 -4.3823 -2.6789
520 1 -1.3262 -2.3475
521 1 -1.6356 -0.6071
522 1 -7.9020 -9.8100
523 1 -6.8600 -4.0131
524 1 0.2931 -3.7006
525 1 4.6641 4.6850
526 1 -2.0982 -0.8756
527 1 2.2869 -2.3057
528 1 0.1947 4.0436
529 1 -7.5536 0.1440
530 1 -0.1267 2.5028
531 1 -2.3455 -0.1474
532 1 1.8688 -1.7422
533 1 -1.7107 0.1632
534 1 -8.6329 -5.8289
535 1 2.0779 -2.4474
536 1 0.2200 -0.4106
537 1 -4.4392 -1.4685
538 1 1.4486 -1.4118
539 1 -1.1005 -0.2663
540 1 0.3483 -4.9986
541 1 -0.3537 0.1073
542 1 1.2583 -4.5335
543 1 -1.0168 -3.6714
544 1 -4.3983 -3.9060
545 1 -3.8771 0.6683
546 1 4.9853 3.1184
547 1 -2.7488 4.8295
548 1 -0.0533 -0.0375
549 1 -2.3677 -0.0646
550 1 -5.2988 -1.9943
551 1 2.4797 -3.5699
552 1 -5.1227 -8.2280
553 1 3.3179 -4.3894
554 1 2.7704 -0.6569
555 1 -3.1816 1.4333
556 1 -5.8692 -0.1932
557 1 -0.6378 0.7678
558 1 3.0479 -0.3390
559 1 0.1115 -3.7841
560 1 -0.5206 0.9100
561 1 4.6753 -1.0607
562 1 3.6287 1.4111
563 1 -1.2505 -1.0963
564 1 -7.1849 -7.6255
565 1 -2.9086 2.5463
566 1 -4.0313 -3.0578
567 1 -0.4964 0.4636
568 1 -0.7050 -2.3232
569 1 -2.5343 0.0006
570 1 -4.8463 -0.8383
571 1 -3.2123 -0.5235
572 1 2.9096 -0.2896
573 1 -1.8447 0.8808
574 1 0.5998 -1.9688
575 1 -1.2091 1.4591
576 1 0.6226 1.9505
577 1 -1.6412 -1.0429
578 1 0.9275 -1.3411
579 1 -3.6198 -3.3513
580 1 -4.0945 0.6228
581 1 0.9860 -3.8198
582 1 1.6339 1.9540
583 1 -0.8182 -1.3374
584 1 -0.9061 -1.1308
585 1 -0.8893 -0.5780
586 1 -4.2787 -1.0132
587 1 -0.3469 0.8405
588 1 1.4105 2.8252
589 1 -4.6200 0.5976
590 1 -1.0979 -0.5496
591 1 -11.1322 2.1927
592 1 -5.2343 2.7601
593 1 1.5985 0.3457
594 1 1.4475 0.9469
595 1 -0.3266 -0.3838
596 1 -2.3116 2.0875
597 1 -3.8304 -1.1262
598 1 2.8412 -1.2968
599 1 0.5226 5.5017
600 1 -2.9155 1.8561
601 1 -6.6834 -3.1387
602 1 0.0689 0.0065
603 1 -4.4952 -5.6940
604 1 0.9509 3.2935
605 1 -3.1771 -0.8803
606 1 3.1944 2.8085
607 1 -8.7282 -6.7485
608 1 1.9800 3.6776
609 1 -6.2592 -1.7740
610 1 0.1875 3.7582
611 1 -9.8064 -2.8261
612 1 -2.8684 -0.7121
613 1 -7.3942 -3.9854
614 1 -0.8825 -2.6724
615 1 2.1269 0.1470
616 1 1.5361 2.7781
617 1 1.6105 1.4810
618 1 7.2780 2.0820
619 1 4.1187 -0.2235
620 1 -1.0546 -0.4242
621 1 0.2470 1.7770
622 1 0.1941 6.1537
623 1 -1.1975 0.6584
624 1 -0.8045 4.8372
625 1 -6.8468 -2.0210
626 1 -1.7394 3.5056
627 1 -0.6679 1.3099
628 1 0.9210 4.7919
629 1 -3.7465 -0.7618
630 1 1.6776 -0.5763
631 1 -2.4793 1.8139
632 1 -0.9607 -0.4709
633 1 4.2789 5.0033
634 1 2.3426 -0.7645
635 1 3.0944 1.8027
636 1 -2.6866 2.4007
637 1 -2.9178 0.1307
638 1 1.1965 4.0656
639 1 -2.3725 -4.4909
640 1 -1.3801 -1.3778
641 1 -2.0858 3.0129
642 1 0.7886 -0.6995
643 1 -0.8631 3.4117
644 1 3.2876 2.1057
645 1 -1.3692 -2.6150
646 1 -5.1912 -3.8535
647 1 4.3314 4.8097
648 1 -7.2082 1.6214
649 1 0.9698 -2.6148
650 1 3.5751 -2.5161
651 1 0.5573 0.9281
652 1 0.3105 -2.2702
653 1 2.4287 4.7074
654 1 -3.1960 -4.8875
655 1 -4.9942 -1.6309
656 1 4.0142 -0.5045
657 1 0.2624 4.2219
658 1 2.2946 2.4406
659 1 -1.3722 0.9673
660 1 1.0720 -1.7313
661 1 0.4964 1.8428
662 1 0.9193 0.7475
663 1 0.2360 5.5594
664 1 -3.7766 2.4555
665 1 -0.1998 -2.8942
666 1 1.7511 -3.0335
667 1 3.7357 -2.1722
668 1 -0.8814 5.7278
669 1 0.6209 -2.5008
670 1 -5.9644 -2.6332
671 1 0.2647 -3.9001
672 1 -1.1568 -0.8817
673 1 -3.1614 -3.3958
674 1 4.8181 1.2150
675 1 -2.8431 -3.5680
676 1 5.7614 -1.6481
677 1 -1.0527 0.6669
678 1 0.4211 -0.9816
679 1 -5.7945 1.4054
680 1 -6.1750 -1.3380
681 1 1.3545 -2.2394
682 1 -3.3733 -0.8959
683 1 -2.0317 -0.3803
684 1 1.1326 2.1389
685 1 -0.9923 2.3028
686 1 -4.1934 -5.2075
687 1 -2.8673 0.7405
688 1 -2.8358 -0.3222
689 1 3.1201 -1.2225
690 1 -6.5019 -0.6973
691 1 0.9357 2.6934
692 1 -2.7500 -3.0480
693 1 -1.7493 4.5834
694 1 0.3516 -2.0573
695 1 2.1780 5.1290
696 1 -1.0567 1.8790
697 1 -4.6562 -0.9712
698 1 2.5999 5.0205
699 1 0.2037 0.4686
700 1 -0.4165 -2.3923
