animal dummy herd_year sex ADG BF age litter
125 0 3 2 123.08 6.47 138 67
126 0 5 2 145.36 20.37 151 50
127 0 3 2 122.50 8.30 166 10
128 0 3 2 117.82 3.93 145 57
129 0 2 1 131.54 14.54 161 58
130 0 3 2 124.33 13.75 189 16
131 0 6 2 113.21 6.10 156 17
132 0 6 1 115.89 15.34 147 130
133 0 5 1 120.91 21.29 189 26
134 0 4 2 131.10 11.19 169 6
135 0 3 2 114.49 -2.17 185 54
136 0 4 2 121.68 14.57 180 5
137 0 2 2 139.62 12.41 156 129
138 0 2 1 126.86 12.21 181 9
139 0 3 2 120.31 6.39 146 30
140 0 1 2 133.52 10.39 166 6
141 0 2 2 106.80 16.41 203 39
142 0 4 1 123.57 26.70 160 72
143 0 1 2 122.00 6.92 174 69
144 0 5 1 107.10 8.45 180 9
145 0 4 1 124.01 9.33 195 70
146 0 2 1 115.62 9.52 174 87
147 0 5 2 122.95 5.22 176 7
148 0 4 1 125.65 14.83 162 78
149 0 2 1 103.25 23.04 179 76
150 0 3 2 125.52 11.52 172 104
151 0 4 2 124.58 17.00 170 95
152 0 3 1 121.02 18.26 168 73
153 0 3 1 117.86 6.11 170 34
154 0 1 2 116.54 8.34 167 38
155 0 6 2 118.12 13.35 161 88
156 0 5 1 116.18 13.73 177 101
157 0 3 2 115.44 16.76 193 21
158 0 2 2 134.16 16.57 159 108
159 0 4 2 123.25 4.76 168 98
160 0 5 2 120.50 17.41 126 10
161 0 5 1 129.18 12.07 164 100
162 0 4 2 124.89 18.25 171 65
163 0 5 1 137.42 24.51 175 88
164 0 6 1 113.39 4.20 161 58
165 0 2 2 117.90 19.65 185 56
166 0 4 2 120.41 23.77 147 95
167 0 4 1 117.91 6.21 190 16
168 0 2 2 128.81 14.26 169 43
169 0 2 2 122.51 3.73 165 24
170 0 5 1 133.92 14.95 182 35
171 0 2 2 127.36 6.44 167 46
172 0 6 2 116.91 6.52 181 97
173 0 4 2 123.14 10.30 188 81
174 0 3 2 111.34 -0.08 148 127
175 0 6 2 119.79 8.98 164 12
176 0 1 2 129.93 14.50 149 38
177 0 3 2 119.72 5.70 201 60
178 0 2 1 117.91 12.37 173 36
179 0 6 2 119.75 14.05 162 97
180 0 4 2 119.55 -4.66 156 72
181 0 2 1 117.98 17.17 158 30
182 0 1 2 130.99 5.20 159 103
183 0 6 1 124.29 8.40 150 104
184 0 1 2 125.00 10.54 132 10
185 0 2 2 123.92 19.18 182 51
186 0 1 1 108.14 16.86 186 109
187 0 1 2 103.69 9.88 195 105
188 0 2 1 126.75 17.23 151 36
189 0 1 2 130.86 5.27 140 118
190 0 1 1 131.79 18.65 146 76
191 0 6 1 126.60 10.18 149 52
192 0 6 1 129.89 11.18 162 84
193 0 2 2 124.96 26.69 159 53
194 0 2 1 122.51 8.97 173 68
195 0 1 1 119.71 16.00 152 31
196 0 2 1 109.64 12.11 190 8
197 0 1 1 134.88 20.03 172 11
198 0 2 1 126.52 15.96 162 52
199 0 2 2 130.48 14.03 156 116
200 0 4 2 118.23 10.91 166 93
201 0 1 2 132.82 0.54 172 101
202 0 1 1 133.41 18.07 171 15
203 0 5 2 123.64 20.18 164 52
204 0 5 2 120.98 17.54 152 36
205 0 2 2 131.61 13.40 145 55
206 0 1 1 114.18 10.13 149 23
207 0 1 2 119.67 10.62 184 17
208 0 1 1 118.67 11.06 156 110
209 0 1 1 114.66 2.49 174 83
210 0 3 2 114.21 9.07 168 69
211 0 5 2 127.03 23.34 173 119
212 0 4 1 105.71 7.49 169 1
213 0 5 2 123.81 16.87 132 90
214 0 6 1 125.00 9.01 154 105
215 0 6 2 119.56 29.57 192 29
216 0 1 1 120.11 11.76 181 39
217 0 4 2 133.38 12.42 158 104
218 0 5 1 122.16 -3.16 166 25
219 0 4 2 127.86 -3.90 175 87
220 0 4 2 120.43 10.34 159 53
221 0 4 2 124.72 8.61 148 46
222 0 5 1 118.90 10.14 201 122
223 0 5 2 111.47 12.55 181 129
224 0 1 2 133.30 13.64 192 112
225 0 1 1 122.45 14.58 162 95
226 0 1 2 129.30 9.27 166 7
227 0 2 1 112.28 11.12 188 91
228 0 4 1 125.31 13.38 168 123
229 0 2 2 126.74 8.44 156 79
230 0 6 2 113.46 8.71 145 22
231 0 5 1 128.65 12.68 174 28
232 0 6 1 122.34 10.15 169 98
233 0 4 1 121.49 4.53 160 5
234 0 1 1 119.88 -8.36 164 102
235 0 3 1 112.70 13.66 154 25
236 0 6 1 124.81 26.66 161 48
237 0 5 2 114.33 16.41 174 22
238 0 6 2 131.97 17.65 161 101
239 0 4 1 127.13 5.89 128 49
240 0 2 1 132.28 10.02 129 35
241 0 2 2 130.95 11.51 155 14
242 0 4 1 118.50 4.25 191 24
243 0 2 1 117.10 21.40 174 100
244 0 2 2 113.00 7.60 185 73
245 0 4 2 114.65 -1.09 191 106
246 0 3 1 117.38 14.15 170 54
247 0 3 2 117.29 10.26 190 17
248 0 5 1 130.86 5.19 161 85
249 0 5 1 122.74 15.94 185 111
250 0 5 1 127.30 19.28 198 48
251 0 6 1 111.94 11.07 150 41
252 0 2 2 123.04 19.17 144 61
253 0 2 1 127.79 12.28 152 110
254 0 3 2 117.41 17.00 169 67
255 0 3 2 111.12 11.62 175 9
256 0 3 2 128.35 13.51 142 85
257 0 6 2 129.50 13.33 172 45
258 0 1 1 119.89 19.34 172 19
259 0 6 2 118.52 15.16 205 98
260 0 4 2 129.04 15.32 179 61
261 0 5 1 129.31 23.33 164 103
262 0 5 1 122.92 18.69 178 24
263 0 6 1 118.25 17.31 157 48
264 0 2 2 114.66 20.76 155 24
265 0 1 1 119.20 11.91 183 109
266 0 5 1 121.00 16.26 170 17
267 0 1 2 126.91 7.08 174 4
268 0 1 2 121.13 5.87 176 108
269 0 2 2 113.02 10.60 201 30
270 0 4 2 127.00 6.37 174 56
271 0 4 2 114.65 8.44 177 29
272 0 1 2 130.71 10.21 187 77
273 0 6 1 125.96 11.08 166 126
274 0 2 2 125.48 22.69 190 63
275 0 4 2 120.35 3.97 175 3
276 0 2 2 125.59 23.88 194 105
277 0 5 1 126.21 23.38 183 58
278 0 6 1 110.54 14.55 183 11
279 0 6 1 125.31 23.98 144 44
280 0 2 2 126.59 13.59 176 43
281 0 6 2 121.83 26.18 144 55
282 0 2 1 126.50 30.26 160 37
283 0 5 2 128.41 11.49 142 66
284 0 6 2 121.43 10.17 157 82
285 0 2 1 123.51 28.95 172 127
286 0 5 1 126.57 15.22 149 71
287 0 6 2 127.70 11.18 165 15
288 0 3 2 122.71 13.09 194 35
289 0 3 1 123.18 16.83 185 29
290 0 3 1 115.79 6.48 179 61
291 0 5 2 116.02 17.17 179 54
292 0 2 1 124.96 25.66 173 74
293 0 4 1 110.90 13.18 188 47
294 0 1 2 120.02 5.81 162 80
295 0 1 1 131.35 15.58 163 59
296 0 4 2 125.94 9.77 148 120
297 0 6 2 129.34 15.85 173 117
298 0 4 2 125.32 0.59 178 9
299 0 4 1 114.63 16.10 175 75
300 0 5 1 118.83 6.93 162 43
301 0 6 1 134.44 6.00 164 97
302 0 5 2 123.57 14.21 161 87
303 0 4 2 128.04 11.59 146 30
304 0 1 1 129.87 29.56 182 33
305 0 6 2 135.99 3.84 153 117
306 0 3 1 116.65 5.76 162 27
307 0 2 1 120.58 11.17 174 79
308 0 3 1 118.02 7.56 161 115
309 0 5 2 119.70 7.93 155 68
310 0 6 2 109.73 4.14 188 85
311 0 1 2 119.92 13.08 205 121
312 0 1 1 113.94 8.77 170 17
313 0 3 1 114.14 12.40 191 116
314 0 6 1 120.49 19.67 162 105
315 0 2 2 126.31 8.31 172 39
316 0 3 1 112.25 12.90 159 106
317 0 3 2 123.47 6.58 149 104
318 0 3 1 127.31 9.63 170 105
319 0 4 1 114.43 15.02 189 100
320 0 6 1 122.57 8.14 152 129
321 0 2 1 129.63 11.64 160 44
322 0 5 2 116.89 5.12 164 62
323 0 6 2 127.78 14.46 155 61
324 0 5 2 133.50 10.06 140 66
325 0 1 2 124.42 18.08 158 67
326 0 3 1 112.45 19.61 172 56
327 0 3 2 133.83 11.85 175 21
328 0 3 1 118.10 15.25 185 23
329 0 4 1 108.64 20.85 173 31
330 0 4 2 122.21 5.70 167 111
331 0 1 1 119.07 17.80 169 99
332 0 1 1 108.46 16.82 220 101
333 0 2 1 134.42 13.81 167 121
334 0 2 1 117.48 14.30 194 70
335 0 1 2 115.49 3.16 192 79
336 0 1 2 123.21 4.44 170 34
337 0 4 2 129.37 8.27 178 51
338 0 4 1 106.18 13.93 172 33
339 0 5 1 115.98 19.71 170 108
340 0 4 2 117.80 20.69 185 20
341 0 6 2 121.23 21.68 183 23
342 0 5 2 110.48 8.53 168 116
343 0 4 1 122.75 17.41 158 89
344 0 4 1 130.95 8.78 167 54
345 0 4 1 127.96 1.31 174 90
346 0 6 1 113.88 22.28 172 12
347 0 3 2 126.78 14.56 172 100
348 0 2 2 124.75 17.12 181 119
349 0 3 2 123.37 14.65 165 99
350 0 1 2 135.40 6.17 146 28
351 0 2 2 127.33 21.72 179 101
352 0 2 2 117.98 12.49 189 11
353 0 3 2 114.51 9.32 187 38
354 0 1 1 114.13 4.95 178 130
355 0 2 1 129.65 10.03 170 104
356 0 4 2 122.04 14.66 188 10
357 0 2 1 127.65 17.20 151 89
358 0 4 1 123.11 5.45 150 24
359 0 1 2 124.31 9.31 174 100
360 0 4 2 127.21 6.87 163 125
361 0 6 1 125.56 18.00 204 87
362 0 3 2 109.17 3.98 183 74
363 0 1 1 111.88 6.58 200 37
364 0 1 2 130.42 21.81 155 69
365 0 5 1 127.94 10.74 146 52
366 0 6 2 122.38 8.75 155 103
367 0 4 2 130.81 10.24 162 96
368 0 1 1 123.40 -0.80 175 27
369 0 1 1 127.75 23.97 168 117
370 0 3 1 101.93 16.95 197 99
371 0 2 2 120.40 15.46 193 26
372 0 5 2 134.70 24.43 163 90
373 0 2 1 139.52 23.02 140 77
374 0 1 1 125.99 11.50 181 24
375 0 2 2 105.87 4.93 177 65
376 0 4 2 122.93 -7.23 156 42
377 0 6 1 129.48 11.13 165 73
378 0 6 2 119.57 4.48 160 123
379 0 3 1 123.27 12.36 188 107
380 0 6 1 103.61 18.65 200 54
381 0 5 1 122.02 10.98 179 40
382 0 6 2 123.84 18.39 171 56
383 0 1 1 127.62 22.08 172 17
384 0 4 2 140.69 4.23 165 117
385 0 1 1 102.55 10.50 172 28
386 0 5 1 111.39 13.62 192 80
387 0 3 2 123.80 16.95 167 43
388 0 1 1 127.15 14.93 176 12
389 0 1 1 115.15 18.60 166 114
390 0 4 2 124.81 1.24 171 67
391 0 5 2 122.88 0.64 179 14
392 0 5 2 106.89 19.67 194 84
393 0 5 2 133.75 10.58 165 94
394 0 5 1 136.91 22.01 159 112
395 0 3 1 118.17 14.91 186 93
396 0 4 1 121.06 17.91 169 110
397 0 1 1 117.02 11.87 184 4
398 0 5 1 129.20 21.34 180 98
399 0 2 2 117.30 11.00 172 92
400 0 4 1 125.97 15.83 176 47
401 0 2 1 124.34 9.77 165 9
402 0 3 1 116.31 16.74 175 7
403 0 5 2 118.38 18.64 196 86
404 0 4 2 121.62 3.23 188 29
405 0 2 1 119.47 15.71 169 65
406 0 5 2 118.31 19.79 155 37
407 0 1 2 118.30 20.41 192 62
408 0 4 1 118.25 12.04 192 46
409 0 1 1 114.24 10.88 164 69
410 0 1 2 125.94 8.06 158 71
411 0 2 2 117.45 6.90 171 114
412 0 6 2 113.90 10.46 164 36
413 0 1 2 112.57 8.98 163 79
414 0 2 1 121.57 9.87 168 93
415 0 1 1 107.67 23.49 188 122
416 0 4 1 126.16 12.47 154 65
417 0 1 2 136.15 25.55 156 63
418 0 4 1 116.75 11.94 168 68
419 0 1 2 127.98 17.28 176 65
420 0 3 1 124.86 13.52 152 6
421 0 2 2 119.60 19.20 187 94
422 0 5 2 99.65 14.58 177 63
423 0 1 1 120.43 9.46 159 72
424 0 6 2 115.45 7.10 188 47
425 0 1 1 119.81 17.52 172 23
426 0 2 2 126.76 16.56 185 83
427 0 2 2 137.28 16.92 182 88
428 0 6 1 114.17 7.89 170 123
429 0 3 1 108.55 6.96 182 10
430 0 4 1 111.60 3.44 193 104
431 0 1 2 120.37 7.13 161 27
432 0 3 2 107.18 8.84 172 41
433 0 4 1 110.35 13.90 191 4
434 0 5 1 121.18 13.13 143 41
435 0 4 2 118.46 1.86 165 120
436 0 5 1 114.09 21.57 194 81
437 0 6 2 120.29 12.94 173 9
438 0 1 2 127.18 21.27 158 40
439 0 1 2 123.76 15.24 167 29
440 0 6 2 124.80 8.07 166 108
441 0 4 1 107.73 16.62 199 105
442 0 2 1 128.09 15.38 174 69
443 0 6 1 119.98 6.78 188 118
444 0 4 2 139.88 19.67 146 109
445 0 6 1 133.61 11.34 164 66
446 0 6 1 112.96 8.96 176 104
447 0 1 1 121.76 11.81 156 20
448 0 2 2 132.46 16.31 163 116
449 0 5 2 118.47 13.37 167 19
450 0 1 1 121.59 17.04 179 106
451 0 2 2 124.16 25.86 160 55
452 0 5 2 112.61 10.73 179 9
453 0 2 1 128.75 11.44 181 113
454 0 5 2 119.95 14.90 187 95
455 0 3 1 117.46 13.98 166 4
456 0 1 1 115.71 11.57 182 99
457 0 6 1 119.21 16.59 158 26
458 0 5 1 127.74 22.19 162 85
459 0 5 1 127.77 13.97 170 118
460 0 2 2 131.53 16.65 149 11
461 0 1 2 125.06 16.33 179 83
462 0 6 2 120.93 17.77 178 15
463 0 1 2 124.73 6.11 165 65
464 0 1 2 135.36 10.70 163 108
465 0 6 1 107.69 18.89 173 79
466 0 3 1 125.03 16.46 170 116
467 0 6 2 128.72 16.11 142 97
468 0 3 2 123.41 6.08 170 3
469 0 1 1 114.88 10.36 195 28
470 0 3 1 135.37 17.05 149 3
471 0 4 2 117.47 11.47 176 29
472 0 3 1 128.42 1.62 152 9
473 0 3 1 130.54 13.40 172 83
474 0 4 2 130.41 10.04 168 91
475 0 4 2 111.57 8.59 177 22
476 0 1 1 118.09 10.54 191 130
477 0 4 2 116.46 -3.68 169 129
478 0 6 2 120.73 14.19 163 114
479 0 6 1 118.04 5.67 174 39
480 0 2 2 120.64 13.55 180 37
481 0 1 1 122.23 14.81 197 48
482 0 1 1 116.16 21.27 218 59
483 0 6 2 125.55 18.75 168 99
484 0 5 2 135.69 17.74 161 16
485 0 4 2 112.54 12.42 200 71
486 0 2 2 137.05 21.23 154 32
487 0 1 2 122.95 13.58 157 61
488 0 5 2 130.48 21.78 175 56
489 0 3 1 117.73 18.41 168 86
490 0 3 1 114.66 7.98 176 69
491 0 1 2 134.36 16.32 162 123
492 0 5 2 112.01 9.48 218 101
493 0 3 1 131.38 8.53 166 21
494 0 5 1 119.00 13.45 160 118
495 0 3 2 113.41 7.93 167 41
496 0 1 1 119.97 8.92 175 103
497 0 3 2 120.70 12.70 164 97
498 0 3 2 104.62 5.87 191 36
499 0 1 2 128.46 9.07 171 47
500 0 5 1 124.59 18.64 159 57
501 0 1 1 119.29 8.34 158 130
502 0 6 1 123.80 16.93 159 91
503 0 3 2 124.24 -3.83 166 112
504 0 3 1 113.30 6.48 175 68
505 0 2 1 122.00 9.91 172 24
506 0 6 1 109.65 10.82 181 19
507 0 2 1 121.34 11.16 161 60
508 0 2 2 121.36 23.60 167 88
509 0 3 2 119.63 24.77 153 67
510 0 6 1 123.66 8.18 162 78
511 0 1 1 128.29 18.77 184 130
512 0 1 2 119.40 1.19 154 101
513 0 1 1 126.92 13.09 156 93
514 0 6 2 118.97 6.48 160 32
515 0 6 1 112.63 10.20 157 12
516 0 4 2 122.55 10.71 168 8
517 0 4 1 131.52 13.48 145 68
518 0 1 2 127.74 8.72 157 96
519 0 6 2 117.10 18.79 170 115
520 0 3 1 116.28 12.04 182 92
521 0 1 1 120.82 10.42 172 99
522 0 5 2 113.28 3.27 186 128
523 0 6 1 121.52 12.21 163 82
524 0 2 2 121.90 6.44 196 13
525 0 4 2 134.90 7.31 176 46
526 0 4 2 125.03 1.93 136 53
527 0 1 1 122.84 6.32 153 33
528 0 2 2 120.08 17.16 174 36
529 0 6 2 111.60 12.58 189 35
530 0 6 2 118.67 8.39 155 30
531 0 2 2 122.52 19.59 185 25
532 0 2 1 134.36 19.90 170 52
533 0 1 1 120.71 7.90 169 67
534 0 2 2 118.18 6.47 162 108
535 0 6 2 126.98 -0.99 168 21
536 0 5 1 120.62 9.50 164 66
537 0 5 2 117.07 3.61 166 13
538 0 3 2 122.36 13.67 174 91
539 0 6 1 137.81 12.87 123 103
540 0 5 2 122.60 9.20 170 19
541 0 1 2 113.94 5.54 159 19
542 0 1 2 121.47 12.11 160 53
543 0 6 1 128.20 17.02 184 94
544 0 6 2 107.60 12.75 184 70
545 0 1 2 117.31 14.66 165 12
546 0 1 2 122.46 5.03 170 111
547 0 5 2 119.73 14.32 180 119
548 0 5 2 131.21 13.07 154 40
549 0 4 1 118.44 10.88 193 130
550 0 2 1 125.10 22.08 165 13
551 0 5 2 130.05 19.02 169 55
552 0 5 1 119.64 13.78 180 59
553 0 2 2 125.57 5.09 172 34
554 0 2 1 136.70 11.85 154 14
555 0 3 1 109.44 11.94 161 90
556 0 1 1 124.32 14.81 178 73
557 0 5 2 139.21 19.46 148 58
558 0 4 2 120.31 6.45 143 12
559 0 6 1 111.38 9.67 179 53
560 0 4 2 141.01 13.43 153 26
561 0 5 2 119.99 9.84 201 46
562 0 6 1 121.52 16.27 160 80
563 0 2 1 118.38 8.48 191 11
564 0 2 2 112.65 1.05 162 9
565 0 5 2 118.51 22.86 172 130
566 0 4 2 120.35 2.59 189 106
567 0 2 2 123.87 18.22 168 94
568 0 3 1 124.37 14.37 150 59
569 0 4 1 117.61 13.30 178 9
570 0 5 2 124.26 16.40 164 13
571 0 4 2 121.04 6.47 189 97
572 0 2 2 139.44 11.20 132 21
573 0 2 1 120.84 6.28 191 4
574 0 2 2 123.51 9.58 159 50
575 0 3 1 116.80 13.24 158 95
576 0 6 2 127.51 15.84 186 5
577 0 2 2 127.10 17.47 144 110
578 0 4 2 115.28 10.84 172 15
579 0 5 2 111.57 9.49 175 55
580 0 6 2 110.35 22.21 197 66
581 0 3 1 117.69 7.78 155 102
582 0 2 2 127.69 19.03 191 53
583 0 1 2 128.13 15.97 169 27
584 0 4 1 121.83 18.31 170 60
585 0 2 2 131.02 6.30 164 128
586 0 1 2 125.68 8.30 173 71
587 0 4 2 126.71 7.27 149 105
588 0 1 2 111.11 17.14 183 127
589 0 5 1 126.31 12.35 127 103
590 0 1 2 121.74 1.08 178 28
591 0 1 1 109.69 22.13 160 3
592 0 2 2 118.45 22.01 174 17
593 0 5 1 128.76 5.60 161 121
594 0 2 2 128.40 6.15 169 40
595 0 1 2 119.41 5.41 188 7
596 0 6 1 119.75 14.40 154 58
597 0 5 1 122.63 8.53 171 45
598 0 3 2 122.46 4.09 164 120
599 0 1 1 113.90 15.86 193 126
600 0 6 1 99.91 14.28 161 37
601 0 4 2 123.22 3.74 184 66
602 0 4 1 126.46 7.50 160 72
603 0 3 2 125.47 9.35 166 19
604 0 1 2 121.05 14.11 165 45
605 0 3 1 115.71 6.69 154 72
606 0 3 1 112.79 19.00 205 63
607 0 5 2 114.39 -0.14 154 42
608 0 6 1 124.90 19.30 160 108
609 0 3 1 110.85 2.33 175 92
610 0 6 2 127.58 17.72 145 65
611 0 4 2 121.17 14.89 157 128
612 0 3 1 105.53 0.64 186 49
613 0 6 2 118.41 7.36 162 39
614 0 4 2 114.37 -0.68 178 90
615 0 5 1 130.61 10.95 148 65
616 0 2 2 127.51 13.14 189 69
617 0 3 2 132.06 13.22 153 48
618 0 2 1 129.68 20.01 195 39
619 0 1 1 126.64 16.19 157 27
620 0 1 2 126.29 10.48 157 126
621 0 6 1 117.73 15.97 157 108
622 0 1 2 129.02 13.54 166 93
623 0 5 2 122.83 10.69 196 27
624 0 2 1 119.59 15.99 174 82
625 0 3 1 119.93 -1.46 174 46
626 0 1 2 127.40 26.18 173 76
627 0 4 2 131.20 11.45 190 94
628 0 3 2 132.79 6.69 156 117
629 0 4 1 125.96 11.36 182 100
630 0 6 1 117.31 15.63 183 125
631 0 2 2 126.05 10.31 167 13
632 0 1 1 121.33 12.18 185 4
633 0 6 2 122.50 19.04 190 4
634 0 5 1 122.51 12.68 167 46
635 0 3 2 140.17 16.70 155 58
636 0 5 2 120.97 24.21 167 116
637 0 6 2 104.82 12.49 175 24
638 0 2 2 118.25 23.29 155 34
639 0 1 1 112.33 3.12 174 74
640 0 2 1 123.34 13.02 155 40
641 0 2 1 122.38 13.26 164 74
642 0 3 2 117.27 4.06 159 41
643 0 4 1 124.07 15.42 157 79
644 0 2 1 120.19 10.69 164 130
645 0 5 1 118.64 15.16 157 37
646 0 5 1 112.69 16.30 161 115
647 0 1 1 129.58 21.55 169 62
648 0 6 2 119.09 9.71 143 73
649 0 6 1 135.45 17.86 177 28
650 0 5 2 123.57 12.66 194 88
651 0 6 2 120.91 11.76 161 21
652 0 5 1 129.69 3.34 172 66
653 0 2 2 132.00 16.22 161 79
654 0 5 1 115.63 4.28 135 80
655 0 6 1 115.51 8.76 171 67
656 0 1 2 131.92 18.05 180 21
657 0 4 2 121.31 13.63 185 10
658 0 5 2 134.73 12.82 161 83
659 0 3 1 113.48 16.23 174 17
660 0 3 2 123.44 6.73 169 33
661 0 4 1 128.59 12.88 152 21
662 0 6 1 115.73 15.54 168 44
663 0 1 1 113.01 20.99 196 25
664 0 2 1 109.28 18.40 191 49
665 0 4 2 121.85 -8.07 171 95
666 0 5 1 115.74 10.19 203 130
667 0 4 1 133.73 18.44 160 14
668 0 2 2 133.39 26.77 142 36
669 0 2 2 120.00 17.99 163 69
670 0 5 1 116.88 23.92 171 88
671 0 3 2 125.43 6.82 143 100
672 0 2 2 135.17 11.39 149 110
673 0 4 2 119.80 16.26 197 96
674 0 2 1 120.77 17.10 200 104
675 0 5 2 115.42 12.51 194 43
676 0 1 2 121.86 10.90 174 24
677 0 1 2 118.43 23.57 188 78
678 0 3 1 120.46 8.26 162 73
679 0 6 1 117.42 13.01 164 62
680 0 6 2 109.85 6.48 172 68
681 0 2 1 127.18 10.40 167 18
682 0 2 1 126.34 11.11 179 91
683 0 1 2 121.30 15.69 183 62
684 0 6 2 130.61 21.17 161 110
685 0 1 1 119.55 22.41 198 16
686 0 2 2 125.44 10.39 165 118
687 0 3 2 120.51 23.15 205 83
688 0 2 1 121.29 25.96 158 58
689 0 2 2 117.69 6.38 167 42
690 0 3 2 126.35 10.54 156 86
691 0 3 2 121.01 14.90 174 116
692 0 3 2 125.80 13.17 163 117
693 0 1 1 107.43 9.65 165 128
694 0 3 2 125.93 6.42 167 60
695 0 2 2 137.01 11.44 145 129
696 0 2 1 125.14 22.32 173 78
697 0 6 2 123.32 15.77 151 54
698 0 2 2 135.36 11.65 161 90
699 0 5 2 123.05 18.69 168 38
700 0 5 2 127.55 9.10 165 89
